"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio","Followers gained","Views gained","FPR","VPR",""
"League of Legends","1","League of Legends","77530931640","1862302140","1782765","8802","1053035","147509","3543","41.63","35542269","1568659867","1.1451074958223482","50.539378116163256","League of Legends"
"Just Chatting","2","Just Chatting","72730827240","1107578340","839576","12126","1168725","138376","2107","65.67","81340586","1718298124","4.406401771995649","93.08405890277703","Just Chatting"
"Fortnite","3","Fortnite","57041617200","4002480600","2331987","115814","2933441","108526","7615","14.25","105529900","1047550469","1.5819674428902917","15.703518498003463","Fortnite"
"Grand Theft Auto V","4","Grand Theft Auto V","41795815320","754766340","389147","5847","773539","79520","1436","55.38","28405862","668023673","2.2581183469310515","53.104408948602554","Grand Theft Auto V"
"Counter-Strike: Global Offensive","5","Counter-Strike: Global Offensive","38520066780","880832640","828949","5542","918769","73287","1675","43.73","23290831","916342710","1.586510077555709","62.41885246214309","Counter-Strike: Global Offensive"
"VALORANT","6","VALORANT","33142483740","828761820","1728977","16287","747296","63056","1576","39.99","24039913","613630711","1.7404213673839366","44.425119221829014","VALORANT"
"Dota 2","7","Dota 2","30194906700","364742220","1045985","1758","172814","57448","693","82.78","5711132","627790253","0.9394797235154186","103.27133277853055","Dota 2"
"Call of Duty: Modern Warfare","8","Call of Duty: Modern Warfare","27958437180","1638177900","520918","14850","1466379","53193","3116","17.07","18330718","437681857","0.6713819543042303","16.030561406059746","Call of Duty: Modern Warfare"
"World of Warcraft","9","World of Warcraft","27643735680","871776960","1103295","19085","342382","52594","1658","31.71","7545252","602770436","0.5193015424495734","41.48564118969146","World of Warcraft"
"Escape From Tarkov","10","Escape From Tarkov","19014511140","420778080","304888","4195","172172","36176","800","45.19","6161134","269580395","0.8785344521748851","38.44027165103277","Escape From Tarkov"
"Minecraft","11","Minecraft","18407957880","815179260","481719","4747","1130142","35022","1550","22.58","29357610","301212227","2.160821167113599","22.1702569076647","Minecraft"
"Apex Legends","12","Apex Legends","15203107080","1138921620","398711","8000","914856","28925","2166","13.35","9282663","258894806","0.4890238013042548","13.638944144374044","Apex Legends"
"Hearthstone","13","Hearthstone","15173930160","111455100","159643","1313","99260","28869","212","136.14","2013681","224164658","1.0840316863023765","120.67531660731541","Hearthstone"
"FIFA 20","14","FIFA 20","14278922400","281959380","365896","4961","334824","27166","536","50.64","10646591","277628834","2.2655584644852036","59.078474495156","FIFA 20"
"Teamfight Tactics","15","Teamfight Tactics","13342186080","242952840","358190","2966","276044","25384","462","54.92","3546636","242048079","0.8758825786930501","59.776558858089494","Teamfight Tactics"
"Overwatch","16","Overwatch","12903519180","574254840","321314","2813","493176","24550","1092","22.47","6725759","249139997","0.7027290183570765","26.030951380401078","Overwatch"
"PLAYERUNKNOWN'S BATTLEGROUNDS","17","PLAYERUNKNOWN'S BATTLEGROUNDS","11933644560","543604800","271355","2165","380587","22704","1034","21.95","7036267","298623077","0.7766230541010676","32.96031348509064","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Tom Clancy's Rainbow Six: Siege","18","Tom Clancy's Rainbow Six: Siege","8508349560","701741100","234650","3779","777717","16187","1335","12.12","8089584","160587518","0.6916725270901192","13.73049274155383","Tom Clancy's Rainbow Six: Siege"
"Slots","19","Slots","8085628800","49368720","200521","230","24431","15383","93","163.78","2206234","59637575","2.681334253754199","72.48019596213959","Slots"
