game_name,percent_positive_reviews,genre,Action,Adventure,Casual,Design_and_Illustration,Early_Access,Free_to_Play,Indie,Massively_Multiplayer,RPG,Racing,Simulation,Sports,Strategy,Utilities
COUNTER-STRIKE,97.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TEAM FORTRESS CLASSIC,84.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DAY OF DEFEAT,90.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEATHMATCH CLASSIC,83.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HALF-LIFE: OPPOSING FORCE,95.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RICOCHET,80.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HALF-LIFE,96.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HALF-LIFE: BLUE SHIFT,90.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HALF-LIFE 2,97.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTER-STRIKE: SOURCE,96.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HALF-LIFE: SOURCE,78.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DAY OF DEFEAT: SOURCE,90.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HALF-LIFE 2: DEATHMATCH,88.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HALF-LIFE DEATHMATCH: SOURCE,74.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HALF-LIFE 2: EPISODE ONE,94.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PORTAL,98.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HALF-LIFE 2: EPISODE TWO,95.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TEAM FORTRESS 2,94.0,"Action,Free to Play",1,0,0,0,0,1,0,0,0,0,0,0,0,0
LEFT 4 DEAD,95.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LEFT 4 DEAD 2,97.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DOTA 2,86.0,"Action,Free to Play,Strategy",1,0,0,0,0,1,0,0,0,0,0,0,1,0
PORTAL 2,99.0,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
ALIEN SWARM,95.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTER-STRIKE: GLOBAL OFFENSIVE,87.0,"Action,Free to Play",1,0,0,0,0,1,0,0,0,0,0,0,0,0
KILLING FLOOR,95.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DARWINIA,75.0,"Indie,Strategy",0,0,0,0,0,0,1,0,0,0,0,0,1,0
UPLINK,91.0,"Indie,Strategy",0,0,0,0,0,0,1,0,0,0,0,0,1,0
DEFCON,86.0,"Indie,Strategy",0,0,0,0,0,0,1,0,0,0,0,0,1,0
MULTIWINIA,83.0,Indie,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DANGEROUS WATERS,76.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DISCIPLES II: GALLEAN'S RETURN,76.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SPACE EMPIRES V,69.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ARX FATALIS,86.0,RPG,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EARTH 2160,68.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TWO WORLDS EPIC EDITION,72.0,RPG,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DARK MESSIAH OF MIGHT & MAGIC,93.0,"Action,RPG",1,0,0,0,0,0,0,0,1,0,0,0,0,0
QUAKE III ARENA,95.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
QUAKE IV,84.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WOLFENSTEIN 3D,95.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ULTIMATE DOOM,94.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FINAL DOOM,87.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DOOM II,93.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
QUAKE,95.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
QUAKE II,93.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
QUAKE III: TEAM ARENA,78.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HEXEN: BEYOND HERETIC,91.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HERETIC: SHADOW OF THE SERPENT RIDERS,93.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
