game_name,percent_positive_reviews,genre,Action,Adventure,Casual,Design_and_Illustration,Early_Access,Free_to_Play,Indie,Massively_Multiplayer,RPG,Racing,Simulation,Sports,Strategy,Utilities
COUNTER-STRIKE,97,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TEAM FORTRESS CLASSIC,84,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DAY OF DEFEAT,90,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEATHMATCH CLASSIC,83,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HALF-LIFE: OPPOSING FORCE,95,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RICOCHET,80,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HALF-LIFE,96,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HALF-LIFE: BLUE SHIFT,90,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HALF-LIFE 2,97,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTER-STRIKE: SOURCE,96,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HALF-LIFE: SOURCE,78,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DAY OF DEFEAT: SOURCE,90,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HALF-LIFE 2: DEATHMATCH,88,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HALF-LIFE DEATHMATCH: SOURCE,74,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HALF-LIFE 2: EPISODE ONE,94,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PORTAL,98,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HALF-LIFE 2: EPISODE TWO,95,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TEAM FORTRESS 2,94,"Action,Free to Play",1,0,0,0,0,1,0,0,0,0,0,0,0,0
LEFT 4 DEAD,95,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LEFT 4 DEAD 2,97,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DOTA 2,86,"Action,Free to Play,Strategy",1,0,0,0,0,1,0,0,0,0,0,0,1,0
PORTAL 2,99,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
ALIEN SWARM,95,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTER-STRIKE: GLOBAL OFFENSIVE,87,"Action,Free to Play",1,0,0,0,0,1,0,0,0,0,0,0,0,0
KILLING FLOOR,95,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DARWINIA,75,"Indie,Strategy",0,0,0,0,0,0,1,0,0,0,0,0,1,0
UPLINK,91,"Indie,Strategy",0,0,0,0,0,0,1,0,0,0,0,0,1,0
DEFCON,86,"Indie,Strategy",0,0,0,0,0,0,1,0,0,0,0,0,1,0
MULTIWINIA,83,Indie,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DANGEROUS WATERS,76,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DISCIPLES II: GALLEAN'S RETURN,76,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SPACE EMPIRES V,69,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ARX FATALIS,86,RPG,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EARTH 2160,68,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TWO WORLDS EPIC EDITION,72,RPG,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DARK MESSIAH OF MIGHT & MAGIC,93,"Action,RPG",1,0,0,0,0,0,0,0,1,0,0,0,0,0
QUAKE III ARENA,95,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
QUAKE IV,84,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WOLFENSTEIN 3D,95,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ULTIMATE DOOM,94,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FINAL DOOM,87,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DOOM II,93,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
QUAKE,95,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
QUAKE II,93,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
QUAKE III: TEAM ARENA,78,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HEXEN: BEYOND HERETIC,91,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HERETIC: SHADOW OF THE SERPENT RIDERS,93,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BLOODY GOOD TIME,76,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SHADOWGROUNDS,80,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPHA PRIME,54,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
VAMPIRE: THE MASQUERADE - BLOODLINES,94,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GUN™,89,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL OF DUTY®,93,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL OF DUTY® 2,91,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL OF DUTY: UNITED OFFENSIVE,83,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACT OF WAR: DIRECT ACTION,85,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMA: COMBAT OPERATIONS,65,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
X2: THE THREAT,81,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
X3: REUNION,71,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
X3: TERRAN CONFLICT,86,"Action,Simulation,Strategy",1,0,0,0,0,0,0,0,0,0,1,0,1,0
FLEET COMMAND,80,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FLATOUT 2™,94,Racing,0,0,0,0,0,0,0,0,0,1,0,0,0,0
