,name,percent_positive_reviews
0,Counter-Strike,97.0
1,Team Fortress Classic,84.0
2,Day of Defeat,90.0
3,Deathmatch Classic,83.0
4,Half-Life: Opposing Force,95.0
5,Ricochet,80.0
6,Half-Life,96.0
7,Counter-Strike: Condition Zero,89.0
8,Half-Life: Blue Shift,90.0
9,Half-Life 2,97.0
10,Counter-Strike: Source,96.0
11,Half-Life: Source,78.0
12,Day of Defeat: Source,90.0
13,Half-Life 2: Deathmatch,88.0
14,Half-Life 2: Lost Coast,85.0
15,Half-Life Deathmatch: Source,74.0
16,Half-Life 2: Episode One,94.0
17,Portal,98.0
18,Half-Life 2: Episode Two,95.0
19,Team Fortress 2,94.0
20,Left 4 Dead,95.0
21,Left 4 Dead 2,97.0
22,Dota 2,86.0
23,Portal 2,99.0
24,Alien Swarm,95.0
25,Counter-Strike: Global Offensive,87.0
27,Red Orchestra: Ostfront 41-45,88.0
28,Killing Floor,95.0
29,SiN Episodes: Emergence,88.0
30,Darwinia,75.0
31,Uplink,91.0
32,DEFCON,86.0
33,Multiwinia,83.0
34,Dangerous Waters,76.0
35,Space Empires IV Deluxe,81.0
36,Disciples II: Rise of the Elves ,81.0
37,Disciples II: Gallean's Return,76.0
38,Iron Warriors: T - 72 Tank Command ,57.0
39,Space Empires V,69.0
40,Arx Fatalis,86.0
41,Source Filmmaker,93.0
42,Earth 2160,68.0
43,Two Worlds Epic Edition,72.0
44,Dark Messiah of Might & Magic,93.0
45,Quake III Arena,95.0
46,Quake IV,84.0
47,Wolfenstein 3D,95.0
48,Ultimate Doom,94.0
49,Final DOOM,87.0
50,DOOM II,93.0
51,QUAKE,95.0
52,QUAKE II,93.0
55,QUAKE III: Team Arena,78.0
56,HeXen: Beyond Heretic,91.0
58,Heretic: Shadow of the Serpent Riders,93.0
59,The Ship: Murder Party,86.0
60,Bloody Good Time,76.0
61,Shadowgrounds,80.0
63,Alpha Prime,54.0
64,Vampire: The Masquerade - Bloodlines,94.0
65,GUN™,89.0
66,Call of Duty®,93.0
67,Call of Duty® 2,91.0
68,Call of Duty: United Offensive,83.0
69,Act of War: Direct Action,85.0
71,ARMA: Combat Operations,65.0
72,X2: The Threat,81.0
73,X3: Reunion,71.0
74,X3: Terran Conflict,86.0
75,X: Beyond the Frontier,75.0
77,X Rebirth,41.0
79,Fleet Command,80.0
81,FlatOut 2™,94.0
82,Xpand Rally,78.0
83,Call of Juarez™,80.0
85,Men of War: Red Tide,81.0
86,King's Bounty: Armored Princess,90.0
88,Safecracker: The Ultimate Puzzle Adventure,60.0
89,Painkiller Overdose,76.0
90,Zuma Deluxe,92.0
92,Peggle Deluxe,94.0
93,Peggle Extreme,92.0
99,Peggle™ Nights,94.0
103,Plants vs. Zombies GOTY Edition,97.0
106,Zuma's Revenge!,94.0
107,Sniper Elite,76.0
108,Judge Dredd: Dredd vs. Death,88.0
109,Evil Genius,95.0
110,Aliens versus Predator Classic 2000,87.0
111,Advent Rising,79.0
112,BloodRayne,77.0
113,BloodRayne 2,72.0
114,Psychonauts,95.0
115,Sid Meier's Civilization® IV,92.0
116,Sid Meier's Civilization® III Complete,86.0
117,Sid Meier's Pirates!,93.0
119,CivCity: Rome,74.0
120,Civilization IV®: Warlords,86.0
121,Garry's Mod,96.0
123,RACE - The WTCC Game,73.0
129,S.T.A.L.K.E.R.: Shadow of Chernobyl,95.0
130,Full Spectrum Warrior,64.0
132,Company of Heroes - Legacy Edition,94.0
133,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",94.0
134,"Warhammer® 40,000: Dawn of War® - Dark Crusade",96.0
135,Total War: MEDIEVAL II – Definitive Edition,94.0
136,Condemned: Criminal Origins,85.0
137,Rome: Total War™ - Collection,93.0
138,Rome: Total War™ - Alexander,72.0
139,Medieval II: Total War™ Kingdoms,95.0
140,Heroes of Annihilated Empires,85.0
141,Cossacks: Back to War,88.0
142,Cossacks: Art of War,82.0
143,Cossacks: European Wars,72.0
144,Cossacks II: Battle for Europe,64.0
145,Zen of Sudoku,88.0
146,Natural Selection 2,85.0
147,STAR WARS™ Republic Commando™,94.0
148,Indiana Jones® and the Fate of Atlantis™,95.0
149,STAR WARS™ Jedi Knight - Jedi Academy™,95.0
150,STAR WARS™ Jedi Knight II - Jedi Outcast™,90.0
151,The Dig®,91.0
152,"Star Wars: Battlefront 2 (Classic, 2005)",92.0
153,Thrillville®: Off the Rails™,88.0
154,Armed and Dangerous®,86.0
155,Shank,89.0
156,Ghost Master®,86.0
158,FlatOut,91.0
159,Making History: The Calm & the Storm,81.0
161,Dreamfall: The Longest Journey,87.0
162,The Longest Journey,92.0
163,Bloodline Champions,86.0
165,Nexus - The Jupiter Incident,84.0
166,Lost Planet™: Extreme Condition,76.0
167,Devil May Cry® 3 Special Edition,58.0
168,Commandos: Behind Enemy Lines,88.0
169,Commandos: Beyond the Call of Duty,85.0
170,Commandos 2: Men of Courage,85.0
171,Commandos 3: Destination Berlin,61.0
172,Hitman 2: Silent Assassin,85.0
173,Hitman: Blood Money,94.0
174,Battlestations: Midway,74.0
175,Just Cause,67.0
176,Hitman: Codename 47,72.0
177,Deus Ex: Game of the Year Edition,95.0
178,Deus Ex: Invisible War,60.0
179,Thief: Deadly Shadows,84.0
180,Tomb Raider: Legend,87.0
181,Project: Snowblind,74.0
182,Rogue Trooper,94.0
